datetime,Q_upstream_m3s,q_lat_m3s,Q_downstream_m3s,h_outlet_m
2022-01-02 19:00:00,36.307,0.019,36.326,0.9965
2022-01-02 19:15:00,21.389,2.666,24.055,0.9183
2022-01-02 19:30:00,29.294,2.291,31.585,0.6941
2022-01-02 19:45:00,31.467,1.652,33.119,0.8645
2022-01-02 20:00:00,56.961,2.351,59.312,0.8183
2022-01-02 20:15:00,49.426,2.559,51.985,1.1592
2022-01-02 20:30:00,49.996,1.003,50.999,0.7355
2022-01-02 20:45:00,70.479,2.526,73.005,1.2962
2022-01-02 21:00:00,69.34,0.316,69.656,0.814
2022-01-02 21:15:00,38.3,5.124,43.424,0.8074
2022-01-02 21:30:00,52.078,2.775,54.853,1.0803
2022-01-02 21:45:00,69.507,1.79,71.297,0.9194
2022-01-02 22:00:00,21.3,1.363,22.663,1.1465
2022-01-02 22:15:00,60.704,3.044,63.748,0.8067
2022-01-02 22:30:00,15.26,0.0,15.26,0.8928
2022-01-02 22:45:00,94.407,3.194,97.601,0.7953
2022-01-02 23:00:00,15.921,4.861,20.782,1.0922
2022-01-02 23:15:00,36.943,4.077,41.02,0.5777
2022-01-02 23:30:00,19.133,4.164,23.297,1.0349
2022-01-02 23:45:00,67.392,4.73,72.122,1.3731
2022-01-03 00:00:00,69.452,7.06,76.512,1.7948
2022-01-03 00:15:00,128.499,10.189,138.688,1.793
2022-01-03 00:30:00,142.043,14.046,156.089,2.3149
2022-01-03 00:45:00,225.426,12.527,237.953,2.4604
2022-01-03 01:00:00,178.985,14.546,193.531,3.2272
2022-01-03 01:15:00,243.642,17.62,261.262,2.7915
2022-01-03 01:30:00,243.82,22.038,265.858,3.0456
2022-01-03 01:45:00,272.601,22.699,295.3,3.2594
2022-01-03 02:00:00,329.901,24.618,354.519,3.467
2022-01-03 02:15:00,331.47,24.646,356.116,3.745
2022-01-03 02:30:00,369.607,26.366,395.973,3.9962
2022-01-03 02:45:00,398.123,28.467,426.59,3.4741
2022-01-03 03:00:00,356.872,25.544,382.416,2.9286
2022-01-03 03:15:00,279.405,23.066,302.471,3.1816
2022-01-03 03:30:00,299.668,24.837,324.505,3.1298
2022-01-03 03:45:00,235.053,20.78,255.833,2.7571
2022-01-03 04:00:00,243.343,20.61,263.953,2.9068
2022-01-03 04:15:00,198.019,19.363,217.382,2.4971
2022-01-03 04:30:00,202.705,16.97,219.675,2.5673
2022-01-03 04:45:00,196.399,15.649,212.048,2.4453
2022-01-03 05:00:00,182.957,13.205,196.162,2.3632
2022-01-03 05:15:00,169.689,9.149,178.838,2.0726
2022-01-03 05:30:00,152.672,9.385,162.057,2.195
2022-01-03 05:45:00,94.923,7.616,102.539,2.2989
2022-01-03 06:00:00,108.896,8.405,117.301,1.7073
2022-01-03 06:15:00,126.198,6.015,132.213,1.7653
2022-01-03 06:30:00,115.471,6.699,122.17,1.4471
2022-01-03 06:45:00,131.886,7.812,139.698,1.6624
2022-01-03 07:00:00,116.94,7.815,124.755,1.8901
2022-01-03 07:15:00,71.751,5.241,76.992,1.7807
2022-01-03 07:30:00,75.482,5.256,80.738,2.0891
2022-01-03 07:45:00,65.187,7.29,72.477,1.3745
2022-01-03 08:00:00,117.49,8.491,125.981,1.9173
2022-01-03 08:15:00,124.373,6.017,130.39,1.5837
2022-01-03 08:30:00,78.939,7.14,86.079,2.058
2022-01-03 08:45:00,103.546,8.13,111.676,1.4903
2022-01-03 09:00:00,136.837,8.639,145.476,1.9348
2022-01-03 09:15:00,110.585,4.404,114.989,1.8049
2022-01-03 09:30:00,102.503,8.662,111.165,2.2374
2022-01-03 09:45:00,103.772,6.716,110.488,1.6347
2022-01-03 10:00:00,149.749,7.778,157.527,1.956
2022-01-03 10:15:00,129.25,9.03,138.28,2.1431
2022-01-03 10:30:00,152.572,9.979,162.551,1.9439
2022-01-03 10:45:00,105.719,11.244,116.963,2.3359
2022-01-03 11:00:00,166.1,11.152,177.252,1.9578
2022-01-03 11:15:00,147.897,10.532,158.429,1.7712
2022-01-03 11:30:00,189.435,9.699,199.134,1.7913
2022-01-03 11:45:00,147.092,10.954,158.046,2.4715
2022-01-03 12:00:00,145.229,10.74,155.969,1.6472
2022-01-03 12:15:00,130.989,10.075,141.064,1.7627
2022-01-03 12:30:00,109.241,10.859,120.1,1.8164
2022-01-03 12:45:00,176.416,10.167,186.583,2.3258
2022-01-03 13:00:00,130.911,8.966,139.877,2.4386
2022-01-03 13:15:00,129.05,7.936,136.986,1.9741
2022-01-03 13:30:00,93.307,7.909,101.216,2.1349
2022-01-03 13:45:00,143.259,8.736,151.995,2.1731
2022-01-03 14:00:00,123.386,8.497,131.883,1.7051
2022-01-03 14:15:00,149.111,10.072,159.183,2.0211
2022-01-03 14:30:00,135.425,7.647,143.072,1.6277
2022-01-03 14:45:00,146.671,11.211,157.882,1.837
2022-01-03 15:00:00,131.595,7.578,139.173,1.9539
2022-01-03 15:15:00,146.169,7.966,154.135,1.7394
2022-01-03 15:30:00,157.982,6.556,164.538,1.666
2022-01-03 15:45:00,106.803,7.578,114.381,1.8266
2022-01-03 16:00:00,110.881,8.102,118.983,1.8819
2022-01-03 16:15:00,110.299,6.581,116.88,1.7555
2022-01-03 16:30:00,113.843,6.541,120.384,1.5669
2022-01-03 16:45:00,101.681,7.727,109.408,1.86
2022-01-03 17:00:00,132.609,5.688,138.297,1.5579
2022-01-03 17:15:00,100.071,3.832,103.903,1.5056
2022-01-03 17:30:00,122.153,4.512,126.665,1.5834
2022-01-03 17:45:00,129.198,4.938,134.136,1.7372
2022-01-03 18:00:00,83.556,6.133,89.689,1.5467
2022-01-03 18:15:00,90.546,6.28,96.826,1.4778
2022-01-03 18:30:00,132.811,4.466,137.277,1.7068
2022-01-03 18:45:00,111.399,2.999,114.398,1.7112
2022-01-03 19:00:00,108.448,4.421,112.869,1.5477
2022-01-03 19:15:00,118.126,4.323,122.449,1.4765
2022-01-03 19:30:00,59.798,4.966,64.764,1.1491
2022-01-03 19:45:00,106.131,3.452,109.583,1.6246
2022-01-03 20:00:00,79.848,5.969,85.817,1.544
2022-01-03 20:15:00,47.947,3.31,51.257,1.6368
2022-01-03 20:30:00,62.85,4.995,67.845,1.822
2022-01-03 20:45:00,68.188,5.39,73.578,1.3122
2022-01-03 21:00:00,53.861,4.605,58.466,1.5169
2022-01-03 21:15:00,89.742,3.414,93.156,1.4815
2022-01-03 21:30:00,114.683,6.482,121.165,1.6015
2022-01-03 21:45:00,50.655,3.282,53.937,1.5796
2022-01-03 22:00:00,77.131,3.22,80.351,1.496
2022-01-03 22:15:00,77.888,5.039,82.927,1.2129
2022-01-03 22:30:00,94.676,2.176,96.852,1.6763
2022-01-03 22:45:00,71.361,3.87,75.231,1.502
2022-01-03 23:00:00,75.048,2.718,77.766,0.901
2022-01-03 23:15:00,70.318,2.101,72.419,1.2405
2022-01-03 23:30:00,60.432,5.415,65.847,1.3733
2022-01-03 23:45:00,55.906,0.0,55.906,1.3478
2022-01-04 00:00:00,59.641,2.984,62.625,1.017
2022-01-04 00:15:00,84.372,1.709,86.081,1.2472
2022-01-04 00:30:00,55.271,3.338,58.609,1.702
2022-01-04 00:45:00,72.545,2.203,74.748,1.6095
2022-01-04 01:00:00,77.482,2.412,79.894,1.2391
2022-01-04 01:15:00,63.628,1.058,64.686,1.2713
2022-01-04 01:30:00,50.795,3.384,54.179,1.7314
2022-01-04 01:45:00,80.242,2.173,82.415,1.4332
2022-01-04 02:00:00,66.34,4.252,70.592,0.8583
2022-01-04 02:15:00,64.424,2.781,67.205,0.7899
2022-01-04 02:30:00,70.309,2.449,72.758,1.5753
2022-01-04 02:45:00,67.165,0.66,67.825,0.9985
2022-01-04 03:00:00,85.536,2.751,88.287,1.2142
2022-01-04 03:15:00,36.653,1.454,38.107,1.4316
2022-01-04 03:30:00,49.95,1.734,51.684,1.3566
2022-01-04 03:45:00,75.692,0.0,75.692,1.0364
2022-01-04 04:00:00,73.844,1.286,75.13,0.9831
2022-01-04 04:15:00,55.274,1.294,56.568,1.2932
2022-01-04 04:30:00,66.388,0.946,67.334,1.112
2022-01-04 04:45:00,66.369,1.163,67.532,1.4789
2022-01-04 05:00:00,81.159,1.234,82.393,0.8632
2022-01-04 05:15:00,35.635,3.348,38.983,1.0771
2022-01-04 05:30:00,5.557,3.222,8.779,0.9436
2022-01-04 05:45:00,63.952,2.494,66.446,1.2084
2022-01-04 06:00:00,56.211,0.825,57.036,1.4214
2022-01-04 06:15:00,90.908,0.718,91.626,0.8679
2022-01-04 06:30:00,25.217,3.648,28.865,1.1968
2022-01-04 06:45:00,76.767,1.047,77.814,0.9421
2022-01-04 07:00:00,51.863,0.0,51.863,1.1856
2022-01-04 07:15:00,43.096,1.605,44.701,1.3551
2022-01-04 07:30:00,21.298,3.877,25.175,1.4947
2022-01-04 07:45:00,36.901,2.356,39.257,1.1856
2022-01-04 08:00:00,68.873,2.929,71.802,1.1721
2022-01-04 08:15:00,48.835,0.969,49.804,1.3096
2022-01-04 08:30:00,87.009,0.912,87.921,1.5102
2022-01-04 08:45:00,82.223,3.528,85.751,1.47
2022-01-04 09:00:00,90.297,4.493,94.79,1.3946
2022-01-04 09:15:00,80.748,3.229,83.977,1.6674
2022-01-04 09:30:00,125.872,6.124,131.996,1.6491
2022-01-04 09:45:00,62.914,5.192,68.106,1.5658
2022-01-04 10:00:00,100.583,4.618,105.201,1.5877
2022-01-04 10:15:00,74.837,7.451,82.288,1.6031
2022-01-04 10:30:00,99.87,6.248,106.118,1.7432
2022-01-04 10:45:00,99.879,8.134,108.013,1.5898
2022-01-04 11:00:00,129.956,8.008,137.964,1.7982
2022-01-04 11:15:00,121.74,8.042,129.782,1.4038
2022-01-04 11:30:00,114.107,8.275,122.382,1.9052
2022-01-04 11:45:00,103.519,7.937,111.456,1.9862
2022-01-04 12:00:00,105.52,5.003,110.523,2.0085
2022-01-04 12:15:00,165.449,6.147,171.596,1.6319
2022-01-04 12:30:00,130.65,9.323,139.973,2.2568
2022-01-04 12:45:00,146.965,5.125,152.09,2.24
2022-01-04 13:00:00,142.57,9.253,151.823,1.9911
2022-01-04 13:15:00,155.374,8.676,164.05,2.133
2022-01-04 13:30:00,127.393,8.842,136.235,2.1269
2022-01-04 13:45:00,119.002,9.147,128.149,2.0863
2022-01-04 14:00:00,160.997,10.088,171.085,1.8335
2022-01-04 14:15:00,138.934,14.882,153.816,2.0415
2022-01-04 14:30:00,157.805,11.126,168.931,2.2234
2022-01-04 14:45:00,154.293,10.601,164.894,2.7242
2022-01-04 15:00:00,177.539,9.957,187.496,2.2504
2022-01-04 15:15:00,136.626,11.173,147.799,2.2506
2022-01-04 15:30:00,193.998,11.425,205.423,2.0424
2022-01-04 15:45:00,166.796,13.093,179.889,2.4883
2022-01-04 16:00:00,221.934,12.699,234.633,2.2645
2022-01-04 16:15:00,216.007,13.131,229.138,2.2607
2022-01-04 16:30:00,169.301,15.476,184.777,2.5467
2022-01-04 16:45:00,211.977,17.294,229.271,2.4291
2022-01-04 17:00:00,170.043,13.469,183.512,2.5275
2022-01-04 17:15:00,172.559,14.177,186.736,2.6866
2022-01-04 17:30:00,235.43,15.152,250.582,2.4833
2022-01-04 17:45:00,197.967,12.292,210.259,2.5972
2022-01-04 18:00:00,177.516,13.756,191.272,2.4537
2022-01-04 18:15:00,203.166,15.277,218.443,2.3465
2022-01-04 18:30:00,213.377,12.474,225.851,2.4461
2022-01-04 18:45:00,140.169,14.369,154.538,2.3021
2022-01-04 19:00:00,171.588,13.06,184.648,2.2103
2022-01-04 19:15:00,180.62,14.633,195.253,2.265
2022-01-04 19:30:00,151.705,11.793,163.498,2.1873
2022-01-04 19:45:00,204.098,11.547,215.645,2.1922
2022-01-04 20:00:00,144.267,11.729,155.996,2.2785
2022-01-04 20:15:00,180.777,12.089,192.866,2.1232
2022-01-04 20:30:00,154.981,8.361,163.342,2.2252
2022-01-04 20:45:00,144.449,11.973,156.422,1.9815
2022-01-04 21:00:00,149.276,8.901,158.177,2.1064
2022-01-04 21:15:00,149.149,12.635,161.784,2.0666
2022-01-04 21:30:00,131.267,10.212,141.479,2.2031
2022-01-04 21:45:00,155.162,10.102,165.264,2.2047
2022-01-04 22:00:00,131.33,8.377,139.707,2.2533
2022-01-04 22:15:00,153.311,8.099,161.41,1.951
2022-01-04 22:30:00,119.246,11.105,130.351,2.1943
2022-01-04 22:45:00,142.98,8.974,151.954,1.9982
2022-01-04 23:00:00,186.635,8.257,194.892,2.2463
2022-01-04 23:15:00,131.574,9.011,140.585,2.0895
2022-01-04 23:30:00,139.181,7.603,146.784,1.6786
2022-01-04 23:45:00,78.279,6.85,85.129,2.0269
2022-01-05 00:00:00,133.9,8.714,142.614,2.0304
2022-01-05 00:15:00,118.061,11.413,129.474,1.984
2022-01-05 00:30:00,109.418,8.186,117.604,1.8972
2022-01-05 00:45:00,127.927,10.731,138.658,1.9533
2022-01-05 01:00:00,164.167,11.717,175.884,1.9498
2022-01-05 01:15:00,133.396,8.17,141.566,2.2357
2022-01-05 01:30:00,146.564,10.272,156.836,2.1755
2022-01-05 01:45:00,172.986,12.686,185.672,2.2574
2022-01-05 02:00:00,209.817,14.07,223.887,2.5128
2022-01-05 02:15:00,177.153,12.993,190.146,2.4229
2022-01-05 02:30:00,185.66,15.971,201.631,2.6037
2022-01-05 02:45:00,185.984,12.791,198.775,2.2186
2022-01-05 03:00:00,206.299,15.964,222.263,2.3013
2022-01-05 03:15:00,226.471,15.398,241.869,2.6247
2022-01-05 03:30:00,239.137,16.88,256.017,3.0326
2022-01-05 03:45:00,214.667,16.115,230.782,2.622
2022-01-05 04:00:00,223.748,18.669,242.417,2.9258
2022-01-05 04:15:00,248.504,19.231,267.735,3.0022
2022-01-05 04:30:00,242.333,21.007,263.34,2.7627
2022-01-05 04:45:00,241.24,20.688,261.928,2.7273
2022-01-05 05:00:00,272.307,19.511,291.818,2.655
2022-01-05 05:15:00,270.639,20.129,290.768,3.025
2022-01-05 05:30:00,251.403,18.591,269.994,3.026
2022-01-05 05:45:00,246.981,15.637,262.618,2.6981
2022-01-05 06:00:00,223.689,18.936,242.625,2.8171
2022-01-05 06:15:00,229.459,18.455,247.914,2.3796
2022-01-05 06:30:00,248.41,16.498,264.908,2.8837
2022-01-05 06:45:00,231.821,14.962,246.783,2.7372
2022-01-05 07:00:00,198.922,15.957,214.879,2.6281
2022-01-05 07:15:00,172.177,15.889,188.066,2.6571
2022-01-05 07:30:00,216.565,13.96,230.525,2.3996
2022-01-05 07:45:00,230.602,12.029,242.631,2.3117
2022-01-05 08:00:00,173.336,14.746,188.082,2.0123
2022-01-05 08:15:00,147.422,11.479,158.901,2.7832
2022-01-05 08:30:00,193.281,12.732,206.013,2.3516
2022-01-05 08:45:00,184.435,11.7,196.135,2.4186
2022-01-05 09:00:00,131.355,12.087,143.442,2.0446
2022-01-05 09:15:00,172.197,10.831,183.028,2.1058
2022-01-05 09:30:00,142.466,11.042,153.508,2.1931
2022-01-05 09:45:00,129.214,9.233,138.447,1.8308
2022-01-05 10:00:00,128.363,7.794,136.157,2.1544
2022-01-05 10:15:00,148.103,8.153,156.256,1.8226
2022-01-05 10:30:00,112.439,9.852,122.291,2.0971
2022-01-05 10:45:00,131.353,8.521,139.874,1.9511
2022-01-05 11:00:00,150.499,7.485,157.984,2.1761
2022-01-05 11:15:00,128.241,8.424,136.665,1.6435
2022-01-05 11:30:00,135.959,6.17,142.129,1.6906
2022-01-05 11:45:00,115.187,5.629,120.816,1.3248
2022-01-05 12:00:00,118.17,7.31,125.48,1.8433
2022-01-05 12:15:00,103.043,9.201,112.244,1.6589
2022-01-05 12:30:00,106.699,7.337,114.036,1.6664
2022-01-05 12:45:00,93.846,4.747,98.593,1.6635
2022-01-05 13:00:00,108.354,3.739,112.093,1.3637
2022-01-05 13:15:00,73.646,5.759,79.405,1.2662
2022-01-05 13:30:00,104.384,4.339,108.723,1.4654
2022-01-05 13:45:00,116.585,5.105,121.69,1.3985
2022-01-05 14:00:00,114.954,3.466,118.42,1.7062
2022-01-05 14:15:00,99.62,2.85,102.47,1.6228
2022-01-05 14:30:00,93.701,3.818,97.519,1.693
2022-01-05 14:45:00,67.036,4.101,71.137,1.6017
2022-01-05 15:00:00,67.878,1.78,69.658,1.4801
2022-01-05 15:15:00,73.812,3.572,77.384,1.6672
2022-01-05 15:30:00,72.602,5.455,78.057,1.352
2022-01-05 15:45:00,76.184,3.385,79.569,1.2944
2022-01-05 16:00:00,82.528,3.858,86.386,1.378
2022-01-05 16:15:00,38.313,4.472,42.785,1.4402
2022-01-05 16:30:00,86.644,2.696,89.34,1.2891
2022-01-05 16:45:00,51.756,0.89,52.646,1.3566
2022-01-05 17:00:00,47.63,3.526,51.156,1.1858
2022-01-05 17:15:00,84.348,4.536,88.884,1.1254
2022-01-05 17:30:00,33.893,2.26,36.153,1.329
2022-01-05 17:45:00,73.415,3.65,77.065,1.044
2022-01-05 18:00:00,57.013,1.721,58.734,1.3743
2022-01-05 18:15:00,46.379,2.388,48.767,1.2042
2022-01-05 18:30:00,31.023,2.095,33.118,1.3928
2022-01-05 18:45:00,55.992,1.288,57.28,1.1808
2022-01-05 19:00:00,55.916,4.004,59.92,1.0828
2022-01-05 19:15:00,45.035,0.333,45.368,1.0218
2022-01-05 19:30:00,37.861,0.271,38.132,1.3472
2022-01-05 19:45:00,29.246,0.4,29.646,1.0575
2022-01-05 20:00:00,55.658,1.339,56.997,1.0259
