estacion_x_m,pos_y_m,z_lecho_m,z_banco_m,z_superficie_m
4000,25,195.956,200.947,197.01
4000,30,195.911,200.947,197.01
4000,35,195.966,200.947,197.01
4000,40,195.992,200.947,197.01
4000,45,196.112,200.947,197.01
4000,50,196.263,200.947,197.01
4250,0,196.648,200.803,196.866
4250,5,196.358,200.803,196.866
4250,10,196.208,200.803,196.866
4250,15,196.101,200.803,196.866
4250,20,195.919,200.803,196.866
4250,25,195.872,200.803,196.866
4250,30,195.809,200.803,196.866
4250,35,195.83,200.803,196.866
4250,40,195.888,200.803,196.866
4250,45,195.937,200.803,196.866
4250,50,196.115,200.803,196.866
4500,0,196.3,200.447,196.51
4500,5,196.097,200.447,196.51
4500,10,195.843,200.447,196.51
4500,15,195.703,200.447,196.51
4500,20,195.564,200.447,196.51
4500,25,195.479,200.447,196.51
4500,30,195.456,200.447,196.51
4500,35,195.424,200.447,196.51
4500,40,195.562,200.447,196.51
4500,45,195.576,200.447,196.51
4500,50,195.654,200.447,196.51
4750,0,196.087,200.303,196.366
4750,5,195.91,200.303,196.366
4750,10,195.659,200.303,196.366
4750,15,195.498,200.303,196.366
4750,20,195.423,200.303,196.366
4750,25,195.333,200.303,196.366
4750,30,195.324,200.303,196.366
4750,35,195.272,200.303,196.366
4750,40,195.355,200.303,196.366
4750,45,195.444,200.303,196.366
4750,50,195.523,200.303,196.366
5000,0,195.679,199.947,196.01
5000,5,195.467,199.947,196.01
5000,10,195.259,199.947,196.01
5000,15,195.075,199.947,196.01
5000,20,194.993,199.947,196.01
5000,25,194.946,199.947,196.01
5000,30,194.952,199.947,196.01
5000,35,194.943,199.947,196.01
5000,40,195.054,199.947,196.01
5000,45,195.189,199.947,196.01
5000,50,195.322,199.947,196.01
